,0
0,0.0015215150244299194
1,0.0015109024066816315
2,0.0015056759047393615
3,0.0015019441648330698
4,0.001494804390757862
5,0.0014920822831276709
6,0.0014879051459113406
7,0.0014837642539089594
8,0.0014789656842421964
9,0.001475076493110635
10,0.0014690094402071852
11,0.001471296249059005
12,0.001467192015942966
13,0.0014619259770688976
14,0.001456836052189191
15,0.0014551459750932697
16,0.0014529895981670255
17,0.00145257316588456
18,0.0014456206314269707
19,0.0014465833970835097
20,0.0014380643218377621
21,0.0014394431026218634
22,0.0014362200441905577
23,0.001433029299468582
24,0.00143516449104501
25,0.00142973037257504
26,0.0014251477971103871
27,0.0014276331132397247
28,0.0014238445932527161
29,0.0014277741929384856
30,0.001418704855799054
31,0.0014154549387609984
32,0.001414008387344547
33,0.0014145820589166963
34,0.0014095760826678134
35,0.0014108485598455414
36,0.001410822722609115
37,0.0014076384916726467
38,0.0014073358998936403
39,0.0014046027544491852
40,0.0013997827265531016
41,0.0014025872487686256
42,0.0014009325828255974
43,0.0014003382597226077
44,0.0014004023376509992
45,0.0013985216237493178
46,0.0013968191892167346
47,0.0013965064270171123
48,0.0013940137525936828
49,0.0013991140003781766
50,0.0013896452131657265
51,0.0013960636933294372
52,0.001387766577824791
53,0.001390292710956966
54,0.0013873762745633083
55,0.0013857929376312173
56,0.0013837451426188948
57,0.0013864682778381766
58,0.0013871167303345557
59,0.0013816404376779962
60,0.001384797507029377
61,0.001380900763080686
62,0.0013822801475827065
63,0.0013799500605887454
64,0.0013767028825445117
65,0.0013771395166165745
66,0.0013773436210333155
67,0.001375784730572556
68,0.001375329300152281
69,0.0013799726399374155
70,0.0013769767655091535
71,0.0013757532738093445
72,0.0013788078280273252
73,0.001375176999061249
74,0.0013724343331817251
75,0.0013711846470395024
76,0.0013685262695842415
77,0.0013723267348280225
78,0.0013680182395873065
79,0.0013683306806497914
80,0.0013701896922977276
81,0.0013698392192451044
82,0.0013679243638140396
83,0.0013644134311869135
84,0.001367916726670427
85,0.0013673205742548802
86,0.001368090394948028
87,0.0013617205037536402
88,0.001362889642184441
89,0.0013610616646722979
90,0.0013613646054485191
91,0.0013603478526839842
92,0.0013640821686523974
93,0.0013594023849015147
94,0.0013598155316848976
95,0.001361382873947772
96,0.00135781996909322
97,0.0013605749973844197
98,0.001360056241755334
99,0.0013579337083551492
100,0.001360125875281584
101,0.0013532415957739337
102,0.0013574392603945115
103,0.0013551847162481365
104,0.0013548293987758712
105,0.0013523343124657741
106,0.0013566733125008198
107,0.0013526659055899542
108,0.0013527291514472957
109,0.001356227208987579
110,0.0013530070087016744
111,0.0013547050184570253
112,0.0013510954377746894
113,0.0013514918361742718
114,0.0013502610468755388
115,0.0013563287629483219
116,0.00135355019935956
117,0.0013509373773589858
118,0.0013506492603824944
119,0.001349111166722977
120,0.0013530325894761416
121,0.0013488450365710175
122,0.0013503291038199305
123,0.0013479906754691599
124,0.001350252284632566
125,0.001346167336162339
126,0.001347107913506289
127,0.0013480213285188994
128,0.0013489050827482636
129,0.0013462256607360756
130,0.001344532994642997
131,0.00134715797408468
132,0.0013470402142653863
133,0.0013453996472625842
134,0.001343679627797638
135,0.001345250418740046
136,0.0013487739376544666
137,0.0013485467155925676
138,0.001344863207698362
139,0.0013417662153693123
140,0.0013458310011038
141,0.0013430163445365098
142,0.0013427528210430064
143,0.0013414754203429176
144,0.0013429280079435557
145,0.001341331368073439
146,0.0013478199961798217
147,0.0013410904002972902
148,0.0013432123103282517
149,0.0013408616329961193
150,0.001339263598380897
151,0.001345874267554659
152,0.001341380318477511
153,0.0013423357407649995
154,0.0013418646303451278
155,0.0013398846288502184
156,0.00134246899601088
157,0.0013389199612459217
158,0.001335454318407748
159,0.0013396592254045969
160,0.0013402842234473866
161,0.0013410766093104153
162,0.0013392056183268626
163,0.0013359992391266662
164,0.0013364214971502367
165,0.0013373298483450985
166,0.0013326612106150286
167,0.0013361130418200204
168,0.001336281371410363
169,0.0013384893999243968
170,0.0013365613422993347
171,0.0013349986566493336
172,0.0013379271325762742
173,0.0013370152155403048
174,0.0013345778276984636
175,0.0013348891098314945
176,0.0013349723977804917
177,0.0013331242963377163
178,0.0013318302345653183
179,0.0013341618528685127
180,0.0013336533960153977
181,0.0013331175823079057
182,0.001338393906525408
183,0.0013331452986070265
184,0.0013317358578081664
185,0.0013329285143727325
186,0.0013308931379897408
187,0.001332437445441436
188,0.001333099921257832
189,0.0013299873325094166
190,0.001334040615017104
191,0.0013321758169306712
192,0.0013288121016767735
193,0.0013322507376527875
194,0.0013303311283473307
195,0.0013335083726232345
196,0.001329191847710321
197,0.0013296797674579115
198,0.001328292854018828
199,0.0013296435319452395
200,0.0013265411340149962
201,0.0013269392709331347
202,0.0013285093753236448
203,0.0013328110500692558
204,0.0013310066553660566
205,0.001327089255160262
206,0.0013275575071859818
207,0.0013273864104929897
208,0.0013290200672016884
209,0.0013253518669273003
210,0.0013306985176904684
211,0.0013256741858795923
212,0.0013239903432221557
213,0.0013249276062119433
214,0.001328806917463692
215,0.0013273431562309146
216,0.001324720477235591
217,0.0013268980648842219
218,0.0013276327244189177
219,0.001325947491493888
220,0.0013266148025261508
221,0.0013264629417238359
222,0.0013255629719346443
223,0.001325198088754685
224,0.0013257580399851545
225,0.0013251563205292178
226,0.0013238321313172833
227,0.0013227847130654745
228,0.0013237468051051514
229,0.001325702802407452
230,0.001324866782937549
231,0.0013252773494300488
232,0.0013247109025728721
233,0.0013233771931746195
234,0.0013243446129565246
235,0.001323614814507767
236,0.0013238239232908424
237,0.001328943871632298
238,0.0013248336779522812
239,0.0013258821247881835
240,0.0013260926397588963
241,0.0013229410538676744
242,0.001330367078542964
243,0.0013230031077117205
244,0.0013237530315836144
245,0.0013220815214877708
246,0.0013263492012181534
247,0.0013212836800246602
248,0.001323251799445472
249,0.001319438632991579
250,0.0013236520343269103
251,0.001320048188840429
252,0.0013229894858753134
253,0.0013250897817102731
254,0.0013206810717825165
